url,naziv,cijena,lokacija,lat,lng,Kvadrata,Broj soba,Adresa,Godina izgradnje,Primarna orjentacija
https://www.olx.ba/artikal/31048439/novo-stan-sarajevo-grbavica-kovacici/,"[IZDAVANJE] Sarajevo GRBAVICA - Kovačići , NOVO",500 KM,Novo Sarajevo,43.848853,18.401858,50,Jednoiposoban (1.5),,,
https://www.olx.ba/artikal/31213768/dvosoban-polunamjesten-stan-mojmilo-dobrinja/,"[IZDAVANJE] Dvosoban, polunamješten stan Mojmilo, Dobrinja!",330 KM,"Sarajevo, Novi Grad",43.83806,18.344328,55,Dvosoban (2),Olimpijska 13,1980-1989,Istok
https://www.olx.ba/artikal/31404840/stan-marjin-dvor-sarajevo-iznajmlljivanje/,[IZDAVANJE] Stan marjin dvor sarajevo iznajmlljivanje,450 KM,Sarajevo - Centar,43.856831,18.411746,60,Dvosoban (2),vrazova,,
https://www.olx.ba/artikal/30620002/stan-na-dan-sarajevo-apartman-grbavica/,[IZDAVANJE] Stan na dan Sarajevo Apartman Grbavica,30 KM,Novo Sarajevo,43.849929,18.391119,100,Trosoban (3),Behdzeta Mutavelica 2A,,
https://www.olx.ba/artikal/28923922/stan-na-dan-sarajevo-apartman-dolac-malta/,[IZDAVANJE] Stan na dan Sarajevo Apartman Dolac Malta,30 KM,Novo Sarajevo,43.852853,18.380465,68,Trosoban (3),Envera Sehovica,,
https://www.olx.ba/artikal/31424749/dvosoban-stan-iznajmljivanje-avde-jabucice-103060/,[IZDAVANJE] Dvosoban stan iznajmljivanje Avde Jabučice 103060,400 KM,Sarajevo - Centar,43.859438,18.407969,55,Dvosoban (2),103060,,
https://www.olx.ba/artikal/31117789/sigenx-izdaje-stan-vijecnica/,[IZDAVANJE] SIGENX izdaje: Stan / Vijećnica,500 KM,Stari Grad,43.8583,18.436596,32,Jednosoban (1),Alifakovac,,
https://www.olx.ba/artikal/28462225/stan-na-dan-sarajevo-apartman-sarajevo/,[IZDAVANJE] Stan na dan Sarajevo - Apartman Sarajevo,PO DOGOVORU,"Sarajevo, Novi Grad",43.849712,18.364592,43,Dvosoban (2),Nova Otoka,Novogradnja,
https://www.olx.ba/artikal/31362554/moderan-dvosoban-stan-stup-ilidza/,"[IZDAVANJE] Moderan, dvosoban stan Stup, Ilidža!",600 KM,Ilidža,43.842659,18.325134,46,Dvosoban (2),Nikole Šopa,Novogradnja,Jugozapad
https://www.olx.ba/artikal/28260459/stan-na-dan-062-798-865/,[IZDAVANJE] Stan na dan 062/798-865,40 KM,Novo Sarajevo,43.855105,18.391773,55,Dvosoban (2),KOLODVORSKA 8,Novogradnja,
https://www.olx.ba/artikal/31293939/namjesten-stan-na-vratniku/,[IZDAVANJE] Namješten stan na Vratniku,250 KM,Stari Grad,43.859197,18.441402,40,Jednosoban (1),Nevjestina,,
https://www.olx.ba/artikal/31433623/dvosoban-stan-grbavica/,[IZDAVANJE] Dvosoban stan Grbavica,400 KM,Novo Sarajevo,43.848688,18.389863,53,Dvosoban (2),Behdzeta Mutavelica 53,,
https://www.olx.ba/artikal/30555770/nn-nekretnine-trosoban-adaptiran-stan-grbavica/,[IZDAVANJE] NN Nekretnine: Trosoban adaptiran stan - Grbavica,1.500 KM 1.000 KM,Novo Sarajevo,43.852141,18.397889,90,Trosoban (3),Grbavicka,,
https://www.olx.ba/artikal/31422861/dvosoban-polunamjesten-stan-grbavica-55-m2/,[IZDAVANJE] Dvosoban polunamješten stan - Grbavica - 55 m2,550 KM,Novo Sarajevo,43.85211,18.394155,55,Dvosoban (2),Hamdije Čemerlića,,Jug
https://www.olx.ba/artikal/31102057/jednosoban-stan/,[IZDAVANJE] Jednosoban stan,550 KM,"Sarajevo, Novi Grad",43.84668,18.341367,45,Jednosoban (1),Džemala Bijedića 129,Novogradnja,
https://www.olx.ba/artikal/30022885/stan-u-centru-sarajeva-sa-uracunatim-rezijama/,[IZDAVANJE] Stan u Centru Sarajeva sa uracunatim rezijama,380 KM,Stari Grad,43.860868,18.425481,20,Garsonjera,Musa Cazim Catic 1,1980-1989,
https://www.olx.ba/artikal/31176095/stan-u-starom-gradu/,[IZDAVANJE] Stan u Starom Gradu,700 KM,Stari Grad,43.857093,18.433248,61,Dvosoban (2),Talirovica,2000-2009,
https://www.olx.ba/artikal/31211968/dvosoban-stan-u-aerodromskom-naselju/,[IZDAVANJE] Dvosoban stan u Aerodromskom naselju,450 KM,"Sarajevo, Novi Grad",43.82532,18.345487,,,,,
https://www.olx.ba/artikal/31434480/stan-ilidza/,[IZDAVANJE] Stan Ilidža,PO DOGOVORU,Ilidža,43.830475,18.305392,30,Garsonjera,,,
https://www.olx.ba/artikal/30231015/trosoban-stan-u-sarajevu-hamdije-cemerlica/,"[IZDAVANJE] Trosoban stan u Sarajevu, Hamdije Čemerlića",PO DOGOVORU,Novo Sarajevo,43.854811,18.392771,78,Trosoban (3),"Hamdije Čemerlića 25, 71000 Sarajevo",,Zapad
https://www.olx.ba/artikal/26980301/prenocistestan-na-dan-apartmansarajevo/,[IZDAVANJE] <>Prenoćište<>Stan na dan <>Apartman<>Sarajevo,25 KM,Novo Sarajevo,43.859754,18.391452,70,Dvosoban (2),,2010+,
https://www.olx.ba/artikal/30418260/stan-na-dan-sarajevo-centar/,[IZDAVANJE] Stan na dan Sarajevo (CENTAR),35 KM,Sarajevo - Centar,43.896586,18.418562,47,Dvosoban (2),,,
https://www.olx.ba/artikal/26747164/izdavanje-stan-ilidza-luzani-110m2/,[IZDAVANJE] Izdavanje : stan Ilidza Luzani 110m2,850 KM,Ilidža,43.830083,18.300378,110,Četverosoban (4),Josipa Panica,1980-1989,Istok
https://www.olx.ba/artikal/31372920/stan-u-starom-gradu/,[IZDAVANJE] Stan u Starom Gradu,500 KM,Stari Grad,43.862558,18.430078,47,Dvosoban (2),Kečina 50,1970-1979,
